goos: darwin
goarch: arm64
pkg: github.com/DataDog/go-libddwaf/v5
cpu: Apple M4 Max
BenchmarkEncoder/1024-16                                	  237387	      5175 ns/op	    3600 B/op	     113 allocs/op
BenchmarkEncoder/4096-16                                	  230706	      6288 ns/op	   15743 B/op	     113 allocs/op
BenchmarkEncoder/4096-16                                	  236342	      5176 ns/op	    3600 B/op	     113 allocs/op
BenchmarkEncoder/4096-16                                	  236286	      5188 ns/op	    3600 B/op	     113 allocs/op
BenchmarkEncoder/4096-16                                	  231811	      5249 ns/op	    3600 B/op	     113 allocs/op
BenchmarkEncoder/4096-16                                	  234386	      5177 ns/op	    3600 B/op	     113 allocs/op
BenchmarkEncoder/4096-16                                	  236125	      5123 ns/op	    3600 B/op	     113 allocs/op
BenchmarkEncoder/4096-16                                	  240423	      6202 ns/op	   21806 B/op	     113 allocs/op
BenchmarkEncoder/4096-16                                	  237106	      5128 ns/op	    3600 B/op	     113 allocs/op
BenchmarkEncoder/4096-16                                	  233277	      5153 ns/op	    3600 B/op	     113 allocs/op
BenchmarkEncoder/4096-16                                	  239392	      5128 ns/op	    3600 B/op	     113 allocs/op
BenchmarkEncoder/8192-16                                	  238594	     10889 ns/op	   26533 B/op	     113 allocs/op
BenchmarkEncoder/8192-16                                	  232182	      5114 ns/op	    3600 B/op	     113 allocs/op
BenchmarkEncoder/8192-16                                	  225460	      5190 ns/op	    3600 B/op	     113 allocs/op
BenchmarkEncoder/8192-16                                	  237504	      5257 ns/op	    3600 B/op	     113 allocs/op
BenchmarkEncoder/8192-16                                	  231397	      5215 ns/op	    3600 B/op	     113 allocs/op
BenchmarkEncoder/8192-16                                	  231874	      8577 ns/op	   33097 B/op	     113 allocs/op
BenchmarkEncoder/8192-16                                	  217557	      5626 ns/op	    3600 B/op	     113 allocs/op
BenchmarkEncoder/8192-16                                	  211551	      5346 ns/op	    3600 B/op	     113 allocs/op
BenchmarkEncoder/8192-16                                	  229701	      5382 ns/op	    3600 B/op	     113 allocs/op
BenchmarkEncoder/8192-16                                	  226543	      5288 ns/op	    3600 B/op	     113 allocs/op
BenchmarkEncoder/16384-16                               	  229062	      5302 ns/op	    3600 B/op	     113 allocs/op
BenchmarkEncoder/16384-16                               	  223653	     13327 ns/op	   41826 B/op	     113 allocs/op
BenchmarkEncoder/16384-16                               	  224464	      5544 ns/op	    3600 B/op	     113 allocs/op
BenchmarkEncoder/16384-16                               	  211454	      5561 ns/op	    3600 B/op	     113 allocs/op
BenchmarkEncoder/16384-16                               	  228363	      6012 ns/op	    3600 B/op	     113 allocs/op
BenchmarkEncoder/16384-16                               	  206043	      5416 ns/op	    3600 B/op	     113 allocs/op
BenchmarkEncoder/16384-16                               	  227284	      5748 ns/op	    3600 B/op	     113 allocs/op
BenchmarkEncoder/16384-16                               	  230562	      5706 ns/op	    3600 B/op	     113 allocs/op
BenchmarkEncoder/16384-16                               	  227346	      5785 ns/op	    3600 B/op	     113 allocs/op
BenchmarkEncoder/16384-16                               	  224713	      5791 ns/op	    3600 B/op	     113 allocs/op
FAIL
exit status 1
FAIL	github.com/DataDog/go-libddwaf/v5	1357.864s
PASS
ok  	github.com/DataDog/go-libddwaf/v5/internal/bindings	0.496s
PASS
ok  	github.com/DataDog/go-libddwaf/v5/internal/invariant	0.375s
?   	github.com/DataDog/go-libddwaf/v5/internal/lib	[no test files]
?   	github.com/DataDog/go-libddwaf/v5/internal/log	[no test files]
PASS
ok  	github.com/DataDog/go-libddwaf/v5/internal/pin	0.377s
PASS
ok  	github.com/DataDog/go-libddwaf/v5/internal/ruleset	0.503s
?   	github.com/DataDog/go-libddwaf/v5/internal/support	[no test files]
?   	github.com/DataDog/go-libddwaf/v5/internal/unsafeutil	[no test files]
goos: darwin
goarch: arm64
pkg: github.com/DataDog/go-libddwaf/v5/timer
cpu: Apple M4 Max
BenchmarkMostUsedFunctions/timer.Start()-16         	28321118	        42.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkMostUsedFunctions/timer.Start()-16         	27978277	        42.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkMostUsedFunctions/timer.Start()-16         	28086654	        42.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkMostUsedFunctions/timer.Start()-16         	27292369	        42.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkMostUsedFunctions/timer.Start()-16         	28028541	        42.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkMostUsedFunctions/timer.Start()-16         	27588399	        42.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkMostUsedFunctions/timer.Start()-16         	28156868	        42.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkMostUsedFunctions/timer.Start()-16         	27835392	        42.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkMostUsedFunctions/timer.Start()-16         	27946756	        42.80 ns/op	       0 B/op	       0 allocs/op
